gene_name,gene_id,start,end,color
ORF1ab,gp01,266,21555,#9E0142
S,gp02,21563,25384,#D53E4F
ORF3a,gp03,25393,26220,#F46D43
E,gp04,26245,26472,#FDAE61
M,gp05,26523,27191,#FEE08B
ORF6,gp06,27202,27387,#FFFFBF
ORF7a,gp07,27394,27759,#E6F598
ORF7b,gp08,27760,27887,#ABDDA4
ORF8,gp09,27894,28259,#66C2A5
N,gp10,28274,29533,#3288BD
ORF10,gp11,29558,29674,#5E4FA2
